sample_id,split,pre_path,post_path,label_path,mask_path,mask_status
sample_00097,train,data/processed/train/pre/sample_00097.tif,data/processed/train/post/sample_00097.tif,data/raw/annotations/0_28_62.geojson,data/processed/train/mask/sample_00097.png,OK
sample_00031,train,data/processed/train/pre/sample_00031.tif,data/processed/train/post/sample_00031.tif,data/raw/annotations/0_39_67.geojson,data/processed/train/mask/sample_00031.png,OK
sample_00012,train,data/processed/train/pre/sample_00012.tif,data/processed/train/post/sample_00012.tif,data/raw/annotations/0_17_66.geojson,data/processed/train/mask/sample_00012.png,OK
sample_00035,train,data/processed/train/pre/sample_00035.tif,data/processed/train/post/sample_00035.tif,data/raw/annotations/0_25_70.geojson,data/processed/train/mask/sample_00035.png,OK
sample_00119,train,data/processed/train/pre/sample_00119.tif,data/processed/train/post/sample_00119.tif,data/raw/annotations/0_37_69.geojson,data/processed/train/mask/sample_00119.png,OK
sample_00042,train,data/processed/train/pre/sample_00042.tif,data/processed/train/post/sample_00042.tif,data/raw/annotations/0_43_58.geojson,data/processed/train/mask/sample_00042.png,OK
sample_00191,train,data/processed/train/pre/sample_00191.tif,data/processed/train/post/sample_00191.tif,data/raw/annotations/0_32_61.geojson,data/processed/train/mask/sample_00191.png,OK
sample_00090,train,data/processed/train/pre/sample_00090.tif,data/processed/train/post/sample_00090.tif,data/raw/annotations/0_17_63.geojson,data/processed/train/mask/sample_00090.png,OK
sample_00137,train,data/processed/train/pre/sample_00137.tif,data/processed/train/post/sample_00137.tif,data/raw/annotations/0_31_59.geojson,data/processed/train/mask/sample_00137.png,OK
sample_00051,train,data/processed/train/pre/sample_00051.tif,data/processed/train/post/sample_00051.tif,data/raw/annotations/0_31_68.geojson,data/processed/train/mask/sample_00051.png,OK
sample_00128,train,data/processed/train/pre/sample_00128.tif,data/processed/train/post/sample_00128.tif,data/raw/annotations/0_31_63.geojson,data/processed/train/mask/sample_00128.png,OK
sample_00163,train,data/processed/train/pre/sample_00163.tif,data/processed/train/post/sample_00163.tif,data/raw/annotations/0_20_66.geojson,data/processed/train/mask/sample_00163.png,OK
sample_00041,train,data/processed/train/pre/sample_00041.tif,data/processed/train/post/sample_00041.tif,data/raw/annotations/0_18_69.geojson,data/processed/train/mask/sample_00041.png,OK
sample_00118,train,data/processed/train/pre/sample_00118.tif,data/processed/train/post/sample_00118.tif,data/raw/annotations/0_15_68.geojson,data/processed/train/mask/sample_00118.png,OK
sample_00113,train,data/processed/train/pre/sample_00113.tif,data/processed/train/post/sample_00113.tif,data/raw/annotations/0_18_66.geojson,data/processed/train/mask/sample_00113.png,OK
sample_00026,train,data/processed/train/pre/sample_00026.tif,data/processed/train/post/sample_00026.tif,data/raw/annotations/0_33_57.geojson,data/processed/train/mask/sample_00026.png,OK
sample_00162,train,data/processed/train/pre/sample_00162.tif,data/processed/train/post/sample_00162.tif,data/raw/annotations/0_36_62.geojson,data/processed/train/mask/sample_00162.png,OK
sample_00100,train,data/processed/train/pre/sample_00100.tif,data/processed/train/post/sample_00100.tif,data/raw/annotations/0_26_63.geojson,data/processed/train/mask/sample_00100.png,OK
sample_00111,train,data/processed/train/pre/sample_00111.tif,data/processed/train/post/sample_00111.tif,data/raw/annotations/0_16_67.geojson,data/processed/train/mask/sample_00111.png,OK
sample_00002,train,data/processed/train/pre/sample_00002.tif,data/processed/train/post/sample_00002.tif,data/raw/annotations/0_32_59.geojson,data/processed/train/mask/sample_00002.png,OK
sample_00077,train,data/processed/train/pre/sample_00077.tif,data/processed/train/post/sample_00077.tif,data/raw/annotations/0_24_62.geojson,data/processed/train/mask/sample_00077.png,OK
sample_00046,train,data/processed/train/pre/sample_00046.tif,data/processed/train/post/sample_00046.tif,data/raw/annotations/0_31_60.geojson,data/processed/train/mask/sample_00046.png,OK
sample_00189,train,data/processed/train/pre/sample_00189.tif,data/processed/train/post/sample_00189.tif,data/raw/annotations/0_24_65.geojson,data/processed/train/mask/sample_00189.png,OK
sample_00193,train,data/processed/train/pre/sample_00193.tif,data/processed/train/post/sample_00193.tif,data/raw/annotations/0_23_70.geojson,data/processed/train/mask/sample_00193.png,OK
