sample_id,orig_post_preview,orig_mask_preview,aug_post_preview,aug_mask_preview,orig_overlay_preview,aug_overlay_preview
sample_00081,outputs/augmentations/sample_00081_orig_post.png,outputs/augmentations/sample_00081_orig_mask.png,outputs/augmentations/sample_00081_aug_post.png,outputs/augmentations/sample_00081_aug_mask.png,outputs/augmentations/sample_00081_orig_overlay.png,outputs/augmentations/sample_00081_aug_overlay.png
sample_00198,outputs/augmentations/sample_00198_orig_post.png,outputs/augmentations/sample_00198_orig_mask.png,outputs/augmentations/sample_00198_aug_post.png,outputs/augmentations/sample_00198_aug_mask.png,outputs/augmentations/sample_00198_orig_overlay.png,outputs/augmentations/sample_00198_aug_overlay.png
sample_00101,outputs/augmentations/sample_00101_orig_post.png,outputs/augmentations/sample_00101_orig_mask.png,outputs/augmentations/sample_00101_aug_post.png,outputs/augmentations/sample_00101_aug_mask.png,outputs/augmentations/sample_00101_orig_overlay.png,outputs/augmentations/sample_00101_aug_overlay.png
sample_00181,outputs/augmentations/sample_00181_orig_post.png,outputs/augmentations/sample_00181_orig_mask.png,outputs/augmentations/sample_00181_aug_post.png,outputs/augmentations/sample_00181_aug_mask.png,outputs/augmentations/sample_00181_orig_overlay.png,outputs/augmentations/sample_00181_aug_overlay.png
sample_00059,outputs/augmentations/sample_00059_orig_post.png,outputs/augmentations/sample_00059_orig_mask.png,outputs/augmentations/sample_00059_aug_post.png,outputs/augmentations/sample_00059_aug_mask.png,outputs/augmentations/sample_00059_orig_overlay.png,outputs/augmentations/sample_00059_aug_overlay.png
sample_00014,outputs/augmentations/sample_00014_orig_post.png,outputs/augmentations/sample_00014_orig_mask.png,outputs/augmentations/sample_00014_aug_post.png,outputs/augmentations/sample_00014_aug_mask.png,outputs/augmentations/sample_00014_orig_overlay.png,outputs/augmentations/sample_00014_aug_overlay.png
sample_00187,outputs/augmentations/sample_00187_orig_post.png,outputs/augmentations/sample_00187_orig_mask.png,outputs/augmentations/sample_00187_aug_post.png,outputs/augmentations/sample_00187_aug_mask.png,outputs/augmentations/sample_00187_orig_overlay.png,outputs/augmentations/sample_00187_aug_overlay.png
sample_00057,outputs/augmentations/sample_00057_orig_post.png,outputs/augmentations/sample_00057_orig_mask.png,outputs/augmentations/sample_00057_aug_post.png,outputs/augmentations/sample_00057_aug_mask.png,outputs/augmentations/sample_00057_orig_overlay.png,outputs/augmentations/sample_00057_aug_overlay.png
sample_00188,outputs/augmentations/sample_00188_orig_post.png,outputs/augmentations/sample_00188_orig_mask.png,outputs/augmentations/sample_00188_aug_post.png,outputs/augmentations/sample_00188_aug_mask.png,outputs/augmentations/sample_00188_orig_overlay.png,outputs/augmentations/sample_00188_aug_overlay.png
sample_00041,outputs/augmentations/sample_00041_orig_post.png,outputs/augmentations/sample_00041_orig_mask.png,outputs/augmentations/sample_00041_aug_post.png,outputs/augmentations/sample_00041_aug_mask.png,outputs/augmentations/sample_00041_orig_overlay.png,outputs/augmentations/sample_00041_aug_overlay.png
