sample_id,iou,dice,precision,recall,accuracy,gt_flood_ratio,category
sample_00095,0.0425,0.0815,0.7857,0.043,0.9962,0.0039,false_alarm
sample_00115,0.0,0.0,0.0,0.0,0.9989,0.0007,correct_empty
sample_00029,0.4742,0.6434,0.6525,0.6345,0.9938,0.0089,false_alarm
sample_00018,0.1275,0.2262,0.2492,0.2071,0.9914,0.006,false_alarm
sample_00078,0.1595,0.2751,0.2179,0.3731,0.9779,0.0112,poor
sample_00073,0.3583,0.5275,0.4609,0.6167,0.8823,0.1065,acceptable
sample_00164,0.0836,0.1544,0.1456,0.1643,0.9962,0.0021,false_alarm
sample_00086,0.3879,0.559,0.4463,0.7477,0.8673,0.1125,acceptable
sample_00166,0.1518,0.2635,0.3516,0.2108,0.9923,0.0065,false_alarm
sample_00079,0.0,0.0,0.0,0.0,0.9994,0.0005,correct_empty
sample_00075,0.0128,0.0253,0.04,0.0185,0.9977,0.0016,false_alarm
sample_00096,0.0,0.0,0.0,0.0,0.9993,0.0007,correct_empty
sample_00056,0.1396,0.245,0.4886,0.1635,0.996,0.004,false_alarm
sample_00159,0.0,0.0,0.0,0.0,0.9996,0.0004,correct_empty
sample_00127,0.2417,0.3894,0.2909,0.5886,0.9604,0.0214,poor
sample_00153,0.3561,0.5252,0.4727,0.5909,0.9568,0.0405,acceptable
sample_00161,0.007,0.014,0.0275,0.0094,0.9935,0.0049,false_alarm
sample_00069,0.3183,0.483,0.4225,0.5635,0.9547,0.0376,acceptable
sample_00199,0.0,0.0,0.0,0.0,0.998,0.002,correct_empty
sample_00186,0.4179,0.5894,0.4505,0.8521,0.9049,0.0801,acceptable
sample_00122,0.0,0.0,0.0,0.0,0.9982,0.0018,correct_empty
sample_00068,0.0,0.0,0.0,0.0,0.9987,0.0013,correct_empty
sample_00019,0.0,0.0,0.0,0.0,0.996,0.004,correct_empty
sample_00005,0.1304,0.2308,0.6923,0.1385,0.9982,0.002,false_alarm
sample_00060,0.0,0.0,0.0,0.0,0.9977,0.0019,correct_empty
sample_00098,0.2858,0.4446,0.372,0.5522,0.8681,0.0956,poor
sample_00200,0.1914,0.3213,0.4951,0.2379,0.987,0.0129,poor
sample_00174,0.2193,0.3597,0.4229,0.3129,0.9884,0.0104,poor
sample_00067,0.0,0.0,0.0,0.0,0.9997,0.0002,correct_empty
sample_00045,0.0251,0.0489,0.5714,0.0256,0.9953,0.0048,false_alarm
sample_00009,0.0,0.0,0.0,0.0,0.995,0.0032,correct_empty
